Question,Type,Option A,Option B,Option C,Option D,Correct Answer, Description
"আপনি যদি একটি ইমেইলে লগইন তথ্য দিতে বলা হয়, কী করবেন?",SINGLE_SELECTION,সাথে সাথে তথ্য দিবেন,ইমেইলটি উপেক্ষা করবেন,Information Security টিমে রিপোর্ট করবেন,সহকর্মীকে ফরোয়ার্ড করবেন,Information Security টিমে রিপোর্ট করবেন,
নিচের কোনটি ফিশিং ইমেইলের লক্ষণ?,SINGLE_SELECTION,অফিসিয়াল স্বাক্ষর,জরুরি ভিত্তিতে তড়িৎ অ্যাকশন নিতে বলা,বিস্তারিত তথ্য প্রদান,পরিচিত ভাষা ব্যবহার,জরুরি ভিত্তিতে তড়িৎ অ্যাকশন নিতে বলা,
অজানা ইমেইলের লিংকে ক্লিক করার আগে কী করা উচিত?,SINGLE_SELECTION,সাথে সাথে ক্লিক করা,URL যাচাই করা,ইমেইল ডিলিট করা,রিস্টার্ট করা,URL যাচাই করা,
ফিশিং ইমেইলে তথ্য দিলে কী ধরনের ক্ষতি হতে পারে?,SINGLE_SELECTION,কিছুই না,শুধু ইমেইল সমস্যা,"তথ্য চুরি, ম্যালওয়্যার বা র‍্যানসমওয়্যার আক্রমণ",ইন্টারনেট স্লো হওয়া,"তথ্য চুরি, ম্যালওয়্যার বা র‍্যানসমওয়্যার আক্রমণ",
নিচের কোনটি কখনো শেয়ার করা উচিত নয়?,SINGLE_SELECTION,নাম,অফিস ঠিকানা,"OTP, PIN, CVV",ইমেইল আইডি,"“OTP, PIN, CVV”",
সন্দেহজনক ইমেইল পেলে প্রথম কাজ কী?,SINGLE_SELECTION,রিপ্লাই করা,লিংক ক্লিক করা,IT/InfoSec টিমে রিপোর্ট করা,ফরোয়ার্ড করা,IT/InfoSec টিমে রিপোর্ট করা,
“Simulation Phishing Email” এর উদ্দেশ্য কী?,SINGLE_SELECTION,কর্মীদের বিভ্রান্ত করা,সাইবার আক্রমণ করা,সচেতনতা ও প্রস্তুতি যাচাই করা,সার্ভার টেস্ট করা,সচেতনতা ও প্রস্তুতি যাচাই করা,
নিচের কোনটি সঠিক নিরাপত্তা চর্চা?,SINGLE_SELECTION,সব লিংকে ক্লিক করা,পাসওয়ার্ড শেয়ার করা,ইমেইল প্রেরকের ঠিকানা যাচাই করা,OTP লিখে রাখা,ইমেইল প্রেরকের ঠিকানা যাচাই করা,
ব্যক্তিগত ডিভাইসে অফিস ইমেইল ব্যবহারে কী করা উচিত?,SINGLE_SELECTION,যে কোনোভাবে ব্যবহার করা,শেয়ার করা,সতর্ক থাকা ও নিরাপত্তা নিশ্চিত করা,পাবলিক ওয়াইফাই ব্যবহার করা,সতর্ক থাকা ও নিরাপত্তা নিশ্চিত করা,
নিচের কোনটি ফিশিং প্রতিরোধের একটি গুরুত্বপূর্ণ ধাপ?,SINGLE_SELECTION,দ্রুত সিদ্ধান্ত নেওয়া,যাচাই না করে তথ্য দেওয়া,সচেতন থাকা ও সন্দেহজনক বিষয় রিপোর্ট করা,সব মেইল বিশ্বাস করা,সচেতন থাকা ও সন্দেহজনক বিষয় রিপোর্ট করা,
