Question,Type,Option A,Option B,Option C,Option D,Correct Answer,Description
ফিশিং (Phishing) কী?,SINGLE_SELECTION,কম্পিউটার ভাইরাস,প্রতারণামূলক উপায়ে তথ্য সংগ্রহের চেষ্টা ,ডেটা ব্যাকআপ প্রক্রিয়া,সফটওয়্যার আপডেট,প্রতারণামূলক উপায়ে তথ্য সংগ্রহের চেষ্টা ,
নিম্নের কোনটি ফিশিং ইমেইলের একটি সাধারণ বৈশিষ্ট্য?,SINGLE_SELECTION,অফিসিয়াল লোগো,জরুরি অ্যাকশনের জন্য চাপ দেওয়া ,নির্দিষ্ট তারিখ দেওয়া,সঠিক ব্যাকরণ,জরুরি অ্যাকশনের জন্য চাপ দেওয়া ,
অপরিচিত ইমেইলে দেওয়া লিংকে ক্লিক করার আগে কী করা উচিত?,SINGLE_SELECTION,সাথে সাথে ক্লিক করা,সহকর্মীকে ফরোয়ার্ড করা,লিংকের আসল URL যাচাই করা,কম্পিউটার বন্ধ করা,লিংকের আসল URL যাচাই করা,
নিম্নের কোনটি নিরাপদ পাসওয়ার্ডের উদাহরণ?,SINGLE_SELECTION,123456,password,Bank@1234!,abcdef,Bank@1234!,
নিম্নের কোনটি নিরাপদ পাসওয়ার্ডের উদাহরণ?,SINGLE_SELECTION,সাথে সাথে দিয়ে দিবেন,IT বিভাগে রিপোর্ট করবেন,উপেক্ষা করবেন,বন্ধুদের জানাবেন,IT বিভাগে রিপোর্ট করবেন,
কোনটি “spear phishing” এর উদাহরণ?,SINGLE_SELECTION,সবার কাছে একই মেসেজ পাঠানো,নির্দিষ্ট ব্যক্তিকে লক্ষ্য করে তথ্য চাওয়া ,ফোন কলের মাধ্যমে প্রতারণা,ওয়েবসাইট হ্যাক করা,নির্দিষ্ট ব্যক্তিকে লক্ষ্য করে তথ্য চাওয়া ,
ইমেইল প্রেরকের ঠিকানা যাচাই কেন গুরুত্বপূর্ণ?,SINGLE_SELECTION,এতে মেইল দ্রুত খুলে,ভুয়া প্রেরক শনাক্ত করা যায় ,ইমেইল ছোট হয়,ফাইল দ্রুত ডাউনলোড হয়,ভুয়া প্রেরক শনাক্ত করা যায় ,
ব্যাংক সংক্রান্ত পাসওয়ার্ড কোথায় লেখা রাখা নিরাপদ?,SINGLE_SELECTION,ডেস্কে কাগজে,ইমেইলে,পাসওয়ার্ড ম্যানেজারে ,সহকর্মীর কাছে,পাসওয়ার্ড ম্যানেজারে ,
সন্দেহজনক ইমেইল পেলে কী করা উচিত?,SINGLE_SELECTION,উত্তর দেওয়া,ডিলিট করা,IT/সিকিউরিটি টিমে রিপোর্ট করা ,সবাইকে ফরোয়ার্ড করা,IT/সিকিউরিটি টিমে রিপোর্ট করা ,
নিম্নের কোনটি ফিশিং থেকে বাঁচার সঠিক উপায়?,SINGLE_SELECTION,সব ইমেইল ওপেন করা,অপরিচিত অ্যাটাচমেন্ট ডাউনলোড করা,নিয়মিত সাইবার সিকিউরিটি ট্রেনিং নেওয়া,পাসওয়ার্ড শেয়ার করা,নিয়মিত সাইবার সিকিউরিটি ট্রেনিং নেওয়া,
